ID,OEM,Part Number,Description,Notes,Product Link,Retail Price (USD)
42,Siemens,3SU1801-0AA00-0AB1,Enclosure / Button Housing,"Plastic, 1 Command Point, Yellow/Gray",https://mall.industry.siemens.com/mall/en/us/Catalog/Product/3SU1801-0AA00-0AB1,~$65.52 - $90.00
43,Siemens,3SU1801-0AA00-0AC1,Enclosure / Button Housing,"Metal, 1 Command Point, Yellow/Gray",https://mall.industry.siemens.com/mall/en/us/Catalog/Product/3SU1801-0AA00-0AC1,~$80.00 - $120.00
44,Schneider Electric,XB5AA21,Pushbutton Operator,"Black, Flush, Plastic, 22mm, for Harmony XB5 Series",https://www.se.com/us/en/product/XB5AA21/push-button-harmony-xb5-plastic-flush-black-22mm-spring-return-unmarked-1no/,~$31.13 - $37.36
45,Schneider Electric,XB5AA31,Pushbutton Operator,"Green, Flush, Plastic, 22mm, for Harmony XB5 Series",https://www.se.com/us/en/product/XB5AA31/push-button-harmony-xb5-plastic-flush-green-22mm-spring-return-unmarked-1no/,~$31.13 - $37.36
46,Schneider Electric,XB5AD33,Selector Switch Operator,"3 Position, Maintained, Black, Plastic, 22mm, for Harmony XB5 Series",https://www.se.com/us/en/product/XB5AD33/selector-switch-harmony-xb5-plastic-3-pos-maintained-black-22mm/,~$40.00 - $60.00
47,Schneider Electric,XB5AD21,Selector Switch Operator,"2 Position, Maintained, Black, Plastic, 22mm, for Harmony XB5 Series",https://www.se.com/us/en/product/XB5AD21/selector-switch-harmony-xb5-plastic-2-pos-maintained-black-22mm/,~$40.00 - $60.00
48,Schneider Electric,XB5AL42,Selector Switch Operator,"3 Position  spring return selector switch, Black, Plastic, 22mm, for Harmony XB5 Series",https://www.se.com/us/en/product/XB5AL42/selector-switch-harmony-xb5-plastic-3-pos-spring-return-from-right-black-22mm/,~$45.00 - $65.00
49,Allen-Bradley (Rockwell Automation),800F-N3W,LED Light Module,"White LED, 24V AC/DC, Screw Clamp Terminal, for 800F Pushbuttons",https://www.rockwellautomation.com/en-us/products/details.800F-N3W.html,~$25.00 - $40.00
50,Allen-Bradley (Rockwell Automation),800F-X01,Contact Block,"1 Normally Closed (NC) Contact, Screw Clamp Terminal, for 800F Pushbuttons",https://www.rockwellautomation.com/en-us/products/details.800F-X01.html,~$15.00 - $25.00
51,Allen-Bradley (Rockwell Automation),800F-X10,Contact Block,"1 Normally Open (NO) Contact, Screw Clamp Terminal, for 800F Pushbuttons",https://www.rockwellautomation.com/en-us/products/details.800F-X10.html,~$15.00 - $25.00
52,Siemens,3SU1401-1BB60-3AA0,Contact Block,"1 NO + 1 NC Contact, Screw Clamp Terminal, for SIRIUS ACT Pushbuttons",https://mall.industry.siemens.com/mall/en/us/Catalog/Product/3SU1401-1BB60-3AA0,~$20.00 - $35.00
53,Siemens,3SU1400-1AA10-3BA0,Contact Block,"1 Normally Open (NO) Contact, Spring-type Terminal, for SIRIUS ACT Pushbuttons",https://mall.industry.siemens.com/mall/en/us/Catalog/Product/3SU1400-1AA10-3BA0,~$15.00 - $25.00
54,Siemens,3SU1400-1AA10-3CA0,Contact Block,"1 Normally Closed (NC) Contact, Spring-type Terminal, for SIRIUS ACT Pushbuttons",https://mall.industry.siemens.com/mall/en/us/Catalog/Product/3SU1400-1AA10-3CA0,~$15.00 - $25.00
55,Schneider Electric,ZBY9101,Marking Cap / Legend Cap,"Green, for Harmony XB4/XB5 Pushbuttons",https://www.se.com/us/en/product/ZBY9101/legend-holder-for-22mm-push-button-green/,~$5.00 - $10.00
56,Schneider Electric,ZBY9102,Marking Cap / Legend Cap,"Yellow, for Harmony XB4/XB5 Pushbuttons",https://www.se.com/us/en/product/ZBY9102/legend-holder-for-22mm-push-button-yellow/,~$5.00 - $10.00
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
