Layer,Category,Component,Brand,Part Number,Description,Qty Used,Qty Purch.,Unit Cost ($),Ext. Cost ($),Source,Status,Notes / Action
L5 – Wiring Infra.,Cable Ties,Nylon Zip Ties + Adhesive Mounts,Various,—,Cable management assortment,1 bag,1 bag,,,Amazon,Confirmed,
L6 – Mechanical,Enclosure,Pelican IM2950 Case,Pelican,IM2950,Storm iM2950 rolling hard case,1,1,,,eBay,Confirmed,Primary portable enclosure
L6 – Mechanical,Backplate,Wood Prototype Panel,Custom,—,"Current working backplate, plywood",1,1,,,Custom,Confirmed,Interim; replace with aluminium
L6 – Mechanical,Backplate,Machined Aluminium Panel,Custom,—,Future CNC'd panel for final build,1,—,,,Machine Shop,Planned,Upgrade path
L6 – Mechanical,Frame,2020 T-Slot Aluminium Ladder Frame,Generic,2020 extrusion,"Modular frame for panel, custom dims",custom,—,,,Amazon,Confirmed,
L6 – Mechanical,Fasteners,M4 Hardware Kit,Generic,—,"M4 T-nuts, button heads, hex standoffs",1 kit,1 kit,,,Amazon,Confirmed,
L6 – Mechanical,3D-Printed Parts,Custom Mounts / Brackets / Spacers,Custom,—,PETG printed on Prusa MK3S+,custom,—,,,3D Print,Confirmed,Ongoing
L7 – HMI / Interface,Push Buttons,22 mm LED Push Buttons,Allen-Bradley,TBD,"24 VDC LED, momentary, red/green/white",6,8,,,Vendor,Confirmed,Exact model TBD
L7 – HMI / Interface,Selector Switch,22 mm Selector Switch,Allen-Bradley,TBD,"2/3-position, maintained",2,2,,,Vendor,Confirmed,
L7 – HMI / Interface,LED Indicators,22 mm Panel LED Indicators,Allen-Bradley,TBD,"24 VDC, red / green / amber / blue",6,8,,,Vendor,Confirmed,
L7 – HMI / Interface,Operator Box,3D-Printed Operator Station,Custom,—,"External pushbutton/LED enclosure, PETG",1,1,,,3D Print,Confirmed,
L8 – USB / Accessories,USB-C Adapter,USB-C Male Screw Terminal Breakout,Generic,—,USB-C male to +/- screw terminals,2,2,,,Amazon,Confirmed,5 V power injection
L8 – USB / Accessories,PLC Cable,USB-B Programming Cable (Micro850),Generic,—,USB-A to USB-B for CCW programming,1,1,,,Amazon,Confirmed,
